rvote	stt	eth	inc	age	sex	edu	mar	kid
1	31	1	4	2	1	2	1	2
1	19	3	3	2	2	3	1	1
0	43	1	3	4	2	2	2	2
0	5	1	3	3	1	4	1	1
1	31	1	3	NA	2	4	2	2
1	33	3	2	3	2	4	2	2
1	29	1	4	2	1	3	1	1
NA	30	1	NA	3	2	3	2	2
1	39	3	2	2	2	2	2	1
1	31	1	3	3	1	2	1	2
NA	14	3	2	1	2	3	2	1
NA	19	1	3	1	1	3	1	1
1	3	1	3	3	1	5	1	2
1	5	4	3	2	1	3	1	1
0	7	1	2	2	2	5	2	2
NA	31	1	1	3	2	1	2	2
1	33	3	2	1	2	2	2	1
1	43	1	3	3	1	3	1	1
1	38	1	4	1	2	3	2	2
0	36	1	3	2	1	3	2	2
1	33	1	3	2	2	2	2	1
0	24	1	2	3	2	2	1	2
NA	10	4	4	1	1	3	1	1
1	1	1	3	3	2	2	1	2
1	4	1	3	2	1	2	1	1
1	5	3	NA	2	1	1	2	2
0	33	1	5	3	1	5	1	2
1	36	1	3	4	1	2	1	2
1	33	1	2	2	1	3	1	1
0	10	1	3	3	2	2	2	1
0	44	2	3	3	1	5	1	1
1	38	1	3	2	2	2	1	2
1	18	1	NA	2	2	3	1	1
0	31	4	3	2	1	5	1	2
1	19	3	2	2	1	4	2	1
1	44	1	1	1	1	3	2	2
1	44	3	1	2	2	1	1	1
0	5	3	2	1	1	4	2	2
0	10	NA	3	3	1	3	1	2
0	10	1	NA	4	2	5	1	2
0	14	1	3	2	2	3	2	2
1	45	1	2	1	2	5	1	2
1	5	3	1	1	2	2	2	1
0	9	2	3	4	2	3	1	2
NA	23	2	1	3	2	1	2	2
0	10	1	NA	4	2	3	1	2
1	19	1	3	3	1	5	2	2
0	44	2	2	2	1	2	2	1
0	27	1	4	3	1	5	1	2
NA	3	1	4	3	1	3	1	1
1	36	1	NA	NA	2	2	1	2
NA	36	1	NA	4	2	2	1	2
1	17	1	3	4	1	2	1	2
1	37	1	2	2	2	1	2	1
NA	19	1	NA	4	2	2	1	2
0	14	2	1	2	1	1	2	1
NA	29	NA	NA	NA	2	5	NA	2
1	47	1	4	2	1	3	1	1
0	39	1	3	2	2	2	1	1
NA	16	1	2	3	1	2	2	2
0	36	3	3	3	1	4	1	1
1	26	1	2	2	1	2	2	1
1	14	3	3	2	2	4	1	2
